stadium_name,city,state,team_name,league,division,opened,years_active,status,renovations,capacity_opening,capacity_current,playing_surface_type,surface,architect,facade_material,architectural_style,classification_era,stadium_type,roof_type,name_history,preceded_by,succeeded_by,elevation,coordinates,stadium_cost,stadium_cost_adjusted,financing_method,address,location_classification,construction_start,opening_day,final_game,demolition_year,left_field_distance,center_field_distance,right_field_distance,orientation,orientation_degrees,visit_order,visit_count,first_visit_date,featured_visit_day,featured_visit_date,featured_game_title,other_visits,trip_name,home_team,home_team_abbreviation,away_team,away_team_abbreviation,game_result,attendance,start_time,time_zone,game_duration,day_night,home_starting_pitcher,away_starting_pitcher,winning_pitcher,losing_pitcher,save_pitcher,innings_played,temperature,conditions,wind,humidity,primary_home_team_color,secondary_home_team_color,home_team_accent_color
Royals Stadium,Kansas City,Missouri,Royals,American League,AL Central,1973,1973-present,Active,"Major 2007-2009 renovation; scoreboard, concourses, fountains, outfield experience, seating, club, and amenities upgrades","40,625","37,903",Mixed / changed over time,AstroTurf 1973-1994; seasonal natural-grass blend since 1995,Kivett and Myers,Smooth exposed concrete facade with later glass and metal entrance additions,Modernist baseball-only stadium with fountain-focused sports-complex planning,Modernist Baseball Specific,Open-air baseball-only stadium in a sports complex,Open Air,Royals Stadium (1973-1993); Kauffman Stadium (1993-present),Municipal Stadium,n/a,870 ft,"39.0514° N, 94.4806° W",$70 million,$508 million,"Publicly financed by Jackson County bonds as part of the Truman Sports Complex, with later voter-approved public renovation funding","1 Royal Way, Kansas City, MO 64129",Sports-complex; Urban; Suburban,"Jul 11, 1968","Apr 10, 1973",n/a,n/a,330 ft,410 ft,330 ft,NE,46°,11,1,"Aug 23, 1989",Wednesday,"Aug 23, 1989",Group Visit,n/a,n/a,Kansas City Royals,KC,California Angels,CAL,"Royals 6, Angels 4","32,843",7:35 PM,CDT,3:09,Night,Tom Gordon,Jim Abbott,Tom Gordon,Jim Abbott,Jeff Montgomery,9,82°,Mostly Clear,2 mph NE,69%,Royal Blue,Gold,White
Cleveland Municipal Stadium,Cleveland,Ohio,Guardians,American League,AL East,1931,1931-1993 for MLB,Demolished,"Lighting, seating, scoreboard, field, football, and tenant-specific updates across decades","78,189","81,000",Natural grass,Natural grass,Walker and Weeks,Reinforced concrete and steel municipal bowl with monumental lakefront exterior,Prewar municipal stadium with stripped-classical civic scale,Postwar Municipal,Open-air municipal multipurpose stadium,Open Air,n/a,League Park,Jacobs Field,590 ft,"41.5067° N, 81.6972° W",$3 million,$63.5 million,Publicly financed and owned by the City of Cleveland as a municipal lakefront stadium,"1085 W 3rd Street, Cleveland, OH 44114 (former site)",Lakefront; Downtown,"Jun 24, 1930","Jul 1, 1931","Oct 3, 1993",1997,322 ft,400 ft,322 ft,NE,45°,12,1,"Aug 13, 1990",Monday,"Aug 13, 1990",Group Visit,n/a,Northeast,Cleveland Indians,CLE,Detroit Tigers,DET,"Tigers 6, Indians 5","12,073",7:38 PM,EDT,2:51,Night,Jeff Shaw,Walt Terrell,Walt Terrell,Jeff Shaw,Jerry Gleaton,9,71°,Partly Cloudy,8 mph NW,73%,Navy Blue,Red,White
Three Rivers Stadium,Pittsburgh,Pennsylvania,Pirates,National League,NL East/Central,1970,1970-2000,Demolished,"Artificial turf, seating, scoreboard, suite, football, and baseball updates across Pirates and Steelers tenancies","47,942","47,971",Artificial turf,Tartan Turf 1970-1982; AstroTurf 1983-2000,Deeter Ritchey Sippel,Regular precast concrete structural system with exposed concrete circular bowl,Circular multipurpose concrete doughnut stadium,Multipurpose Shared Use,Open-air circular multipurpose stadium,Open Air,n/a,Recreation Park; Exposition Park; Forbes Field,PNC Park,730 ft,"40.4467° N, 80.0128° W",$55 million,$483 million,Publicly financed through Pittsburgh/Allegheny County stadium-authority bonds as a municipal multipurpose stadium,"600 Stadium Circle, Pittsburgh, PA 15212 (former site)",Riverfront,"Apr 25, 1968","Jul 16, 1970","Oct 1, 2000",2001,335 ft,400 ft,335 ft,SE,135°,13,1,"Aug 14, 1990",Tuesday,"Aug 14, 1990",Group Visit,n/a,Northeast,Pittsburgh Pirates,PIT,Atlanta Braves,ATL,"Pirates 3, Braves 1; Braves 4, Pirates 6","25,542",5:35 PM; 9:00 PM,EDT,2:32; 2:14,Night,Doug Drabek; Zane Smith,Charlie Leibrandt; Steve Avery,Doug Drabek; Zane Smith,Charlie Leibrandt; Steve Avery,n/a; Bob Patterson,9,76°; 70°,Mostly Clear,4 mph NW; 4 mph N,57%; 78%,Black,Gold,White
Veterans Stadium,Philadelphia,Pennsylvania,Phillies,National League,NL East,1971,1971-2003,Demolished,"Scoreboard, turf, seating, suites, concessions, football, and safety updates across Phillies and Eagles tenancies","56,371","65,352",Artificial turf,AstroTurf 1971-2001; NexTurf 2001-2003,Hugh Stubbins and Associates,Exposed reinforced/precast concrete circular octorad bowl,Brutalist modern multipurpose concrete stadium,Multipurpose Shared Use,Open-air circular multipurpose stadium,Open Air,n/a,Recreation Park; Baker Bowl; Shibe Park / Connie Mack Stadium,Citizens Bank Park,20 ft,"39.9067° N, 75.1711° W",$63 million,$501 million,Publicly financed by the City of Philadelphia as a municipal multipurpose stadium,"3501 S Broad Street, Philadelphia, PA 19148 (former site)",Sports-complex,"Oct 2, 1967","Apr 10, 1971","Sep 28, 2003",2004,330 ft,371 ft,330 ft,ENE,67.5°,14,1,"Aug 15, 1990",Wednesday,"Aug 15, 1990",Group Visit,n/a,Northeast,Philadelphia Phillies,PHI,San Francisco Giants,SF,"Phillies 6, Giants 0","32,156",7:35 PM,EDT,2:09,Night,Terry Mulholland,Don Robinson,Terry Mulholland,Don Robinson,n/a,9,79°,Mostly Clear,4 mph WSW,65%,Red,Blue,White
Memorial Stadium,Baltimore,Maryland,Orioles,American League,AL East,1954,1954-1991 for MLB,Demolished,"Major 1950s reconstruction; scoreboards, lighting, seating, and football/baseball updates across decades","31,000","53,371",Natural grass,Natural grass,"Hall, Border & Donaldson",Reinforced concrete structure with brick-and-stone memorial facade and gateway,Postwar municipal memorial stadium with monumental classical frontage,Postwar Municipal,Open-air municipal multipurpose stadium,Open Air,n/a,n/a,Oriole Park at Camden Yards,250 ft,"39.3294° N, 76.6014° W",$6.5 million,$87 million,"Publicly financed as a Baltimore municipal memorial stadium, with city/state civic-stadium support","900 E 33rd Street, Baltimore, MD 21218 (former site)",Urban,1921,"Apr 15, 1954","Oct 6, 1991",2002,309 ft,445 ft,309 ft,N,0°,15,1,"Aug 17, 1990",Friday,"Aug 17, 1990",Group Visit,n/a,Northeast,Baltimore Orioles,BAL,Oakland Athletics,OAK,"Athletics 8, Orioles 3","45,379",7:38 PM,EDT,2:51,Night,John Mitchell,Bob Welch,Bob Welch,John Mitchell,n/a,9,81°,Clear,4 mph S,66%,Orange,Black,White
Mile High Stadium,Denver,Colorado,Rockies,National League,NL West,1993,1993-1994 for MLB,Demolished,"Expanded repeatedly for football; movable east stands, upper decks, scoreboard, and event upgrades before Rockies tenancy","76,000","76,123",Natural grass,Kentucky bluegrass,Original Bears Stadium by local municipal designers; later expansions by several firms,Concrete and steel grandstands with movable steel east-stand structure,Utilitarian open-air multipurpose stadium with expandable movable-grandstand engineering,Multipurpose Shared Use,Open-air multipurpose stadium adapted for MLB expansion,Open Air,Bears Stadium (1948-1968); Mile High Stadium (1969-2001),n/a,Coors Field,5280 ft,"39.7461° N, 105.0217° W",$500k,$7 million,Publicly financed and expanded by Denver as a municipal stadium; Rockies tenancy used the existing facility as an interim MLB venue,"2755 W 17th Avenue, Denver, CO 80204 (former site)",Urban-edge; Urban,1947,"Aug 14, 1948","Aug 11, 1994",2002,333 ft,423 ft,370 ft,SE,135°,16,unknown,"Apr 9, 1993",Friday,"Apr 9, 1993",First Visit,multiple,n/a,Colorado Rockies,COL,Montreal Expos,MON,"Rockies 11, Expos 4","80,227",3:05 PM,MDT,2:42,Day,Bryn Smith,Kent Bottenfield,Bryn Smith,Kent Bottenfield,n/a,9,63°,Light Drizzle,3 mph SW,23%,Purple,Black,Silver
Coors Field,Denver,Colorado,Rockies,National League,NL West,1995,1995-present,Active,"Rooftop deck opened in 2014; scoreboard, club, seating, concessions, and social-space upgrades","50,200","46,891",Natural grass,Kentucky bluegrass blend,HOK Sport and W.E. Simpson,"Brick, sandstone, precast masonry, and exposed steel",Retro-classic warehouse-district ballpark,Retro Classic,Open-air baseball-only ballpark,Open Air,n/a,Mile High Stadium,n/a,5200 ft,"39.7561° N, 104.9942° W",$300 million,$634 million,"Public-private financing; Denver metropolitan stadium-district sales-tax bonds funded the majority, with Rockies/private contribution","2001 Blake Street, Denver, CO 80205",Downtown,"Oct 16, 1992","Apr 26, 1995",n/a,n/a,347 ft,415 ft,350 ft,N,4°,17,unknown,"Apr 26, 1995",Wednesday,"Apr 26, 1995",First Visit,multiple,n/a,Colorado Rockies,COL,New York Mets,NYM,"Rockies 11, Mets 9","47,228",5:38 PM,MDT,4:49,Night,Bill Swift,Bobby Jones,Mark Thompson,Mike Remlinger,n/a,14,36°,Partly Cloudy,5 mph ESE,69%,Purple,Black,Silver
Progressive Field,Cleveland,Ohio,Guardians,American League,AL Central,1994,1994-present,Active,"Major 2015-2016 renovation; additional 2020s renovations to upper deck, social spaces, club areas, bullpens, and neighborhood connections","42,865","34,820",Natural grass,Kentucky bluegrass,HOK Sport,"Painted exposed steel, brick accents, and concrete seating-bowl structure",Retro-modern downtown ballpark with industrial steel expression,Retro Classic,Open-air baseball-only ballpark,Open Air,Jacobs Field (1994-2007); Progressive Field (2008-present),League Park; Cleveland Municipal Stadium,n/a,650 ft,"41.4958° N, 81.6853° W",$175 million,$380 million,"Public-private financing through the Gateway Economic Development Corporation, sin-tax/public bonds, and team/private contributions","2401 Ontario Street, Cleveland, OH 44115",Downtown,"Jan 13, 1992","Apr 4, 1994",n/a,n/a,325 ft,400 ft,325 ft,N,0°,18,2,"Jul 2, 2001",Thursday,"Sep 22, 2011",Group Visit,n/a,Ohio/Pennsylvania,Cleveland Indians,CLE,Chicago White Sox,CWS,"Indians 11, White Sox 2","21,487",7:06 PM,EDT,2:36,Night,Jeanmar Gomez,Philip Humber,Jeanmar Gomez,Philip Humber,n/a,9,68°,Clear,5 mph NE,64%,Navy Blue,Red,White
Comerica Park,Detroit,Michigan,Tigers,American League,AL Central,2000,2000-present,Active,"Scoreboard, outfield, seating, club, fences, social-space, and player-facility upgrades","40,120","41,083",Natural grass,Kentucky bluegrass,"HOK Sport, SHG, and Rockwell Group",Retro brick-clad concrete-and-steel structure with stone tiger-head ornament,Retro-classic downtown ballpark with large-scale traditional stadium massing,Retro Classic,Open-air baseball-only ballpark,Open Air,n/a,Bennett Park; Tiger Stadium,n/a,600 ft,"42.3392° N, 83.0486° W",$300 million,$561 million,Public-private financing; Tigers/private funds supplied the majority with Detroit/Wayne County public infrastructure and capital support,"2100 Woodward Avenue, Detroit, MI 48201",Downtown,"Oct 29, 1997","Apr 11, 2000",n/a,n/a,342 ft,412 ft,330 ft,SSE,150°,19,2,"Jul 3, 2001",Friday,"Jul 21, 2023",Group Visit,n/a,Northern Midwest,Detroit Tigers,DET,San Diego Padres,SD,"Padres 5, Tigers 4","28,834",6:40 PM,EDT,2:33,Night,Reese Olson,Seth Lugo,Seth Lugo,Reese Olson,Josh Hader,9,79°,Clear,10 mph N,41%,Navy Blue,Orange,White
New Comiskey Park,Chicago,Illinois,White Sox,American League,AL Central,1991,1991-present,Active,"Major 2001-2007 renovation reduced upper deck, added roof canopy, reworked concourses, seating, scoreboard, and fan areas","44,321","40,615",Natural grass,Kentucky bluegrass,HOK Sport,Concrete and steel structure with arched-window facade and later black steel canopy,Late-modern baseball-only stadium retrofitted with retro-classic elements,Transitional Modern,Open-air baseball-only ballpark,Open Air,New Comiskey Park (1991-2002); U.S. Cellular Field (2003-2016); Guaranteed Rate Field (2016-2024); Rate Field (2024-present),South Side Park; Comiskey Park,n/a,595 ft,"41.83° N, 87.6339° W",$137 million,$324 million,Publicly financed by the Illinois Sports Facilities Authority through public bonds and state/local revenue sources,"333 W 35th Street, Chicago, IL 60616",Urban,"May 7, 1989","Apr 18, 1991",n/a,n/a,330 ft,400 ft,335 ft,SE,127°,20,1,"Jul 4, 2001",Wednesday,"Jul 4, 2001",Visit Info,n/a,Midwest,Chicago White Sox,CWS,Minnesota Twins,MIN,"White Sox 4, Twins 3","22,934",6:07 PM,CDT,2:51,Night,Mark Buehrle,Eric Milton,Keith Foulke,LaTroy Hawkins,n/a,9,82°,Clear,8 mph NW,50%,Black,Silver,White
American Family Field,Milwaukee,Wisconsin,Brewers,National League,NL Central,2001,2001-present,Active,"Scoreboard, seating, club, concessions, and infrastructure improvements; roof and winterization work","41,900","41,900",Natural grass,Kentucky bluegrass,"HKS, NBBJ, and Eppstein Uhen Architects","Red brick facade with limestone, steel, glass, and fan-shaped retractable-roof structure",Retro-classic retractable-roof ballpark with industrial roof expression,Retro Classic,Retractable-roof baseball-only ballpark,Fan-shaped retractable roof,Miller Park (2001-2020); American Family Field (2021-present),County Stadium,n/a,635 ft,"43.0283° N, 87.9711° W",$400 million,$727 million,"Public-private financing; Southeast Wisconsin Professional Baseball Park District sales-tax bonds funded the majority, with Brewers/private contribution","1 Brewers Way, Milwaukee, WI 53214",Urban; Suburban,"Nov 9, 1996","Apr 6, 2001",n/a,n/a,342 ft,400 ft,337 ft,SE,129°,21,2,"Jul 5, 2001",Saturday,"Jul 22, 2023",Group Visit,n/a,Northern Midwest,Milwaukee Brewers,MIL,Atlanta Braves,ATL,"Brewers 4, Braves 3","39,707",6:15 PM,CDT,2:32,Night,Adrian Houser,Allan Winans,Joel Payamps,Joe Jimenez,Devin Williams,9,78°,Mostly Clear,5 mph WSW,47%,Navy Blue,Gold,Royal Blue
